row_id,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Excitation source (nm),Emission max. (nm),Formula,Host,Reference,Eu valence
0,45.0,28.0,0.01,27.99,164,63,8,55,379.130762,151.964,15.999,135.965,710,185,60,125,7.75,3.44,0,3.44,17,6,2,4,41.4268802,13.618054,5.5386,8.079454,567.43,224.0,0.63,223.37,1166.725194,447.972,1.51964,446.45236,4185.05,1680.0,1.85,1678.15,121.76,96.32,0,96.32,223.0,168.0,0.02,167.98,515.2648831,381.305512,0.05670385,381.2488082,298,320.0,377.0,Ca8.99CeP7O28Eu0.01,Ca8.99CeP7O28,https://doi.org/10.1039/C6CP05490K,2
1,45.0,28.0,0.02,27.98,164,63,8,55,379.130762,151.964,15.999,135.965,710,185,60,125,7.75,3.44,0,3.44,17,6,2,4,41.4268802,13.618054,5.5386,8.079454,567.86,224.0,1.26,222.74,1167.844054,447.972,3.03928,444.93272,4185.1,1680.0,3.7,1676.3,121.75,96.32,0,96.32,223.0,168.0,0.04,167.96,515.2604554,381.305512,0.1134077,381.1921043,298,320.0,377.0,Ca8.98CeP7O28Eu0.02,Ca8.98CeP7O28,https://doi.org/10.1039/C6CP05490K,2
2,45.0,28.0,0.04,27.96,164,63,8,55,379.130762,151.964,15.999,135.965,710,185,60,125,7.75,3.44,0,3.44,17,6,2,4,41.4268802,13.618054,5.5386,8.079454,568.72,224.0,2.52,221.48,1170.081774,447.972,6.07856,441.89344,4185.2,1680.0,7.4,1672.6,121.73,96.32,0,96.32,223.0,168.0,0.08,167.92,515.2516,381.305512,0.2268154,381.0786966,298,320.0,377.0,Ca8.96CeP7O28Eu0.04,Ca8.96CeP7O28,https://doi.org/10.1039/C6CP05490K,2
3,45.0,28.0,0.06,27.94,164,63,8,55,379.130762,151.964,15.999,135.965,710,185,60,125,7.75,3.44,0,3.44,17,6,2,4,41.4268802,13.618054,5.5386,8.079454,569.58,224.0,3.78,220.22,1172.319494,447.972,9.11784,438.85416,4185.3,1680.0,11.1,1668.9,121.71,96.32,0,96.32,223.0,168.0,0.12,167.88,515.2427446,381.305512,0.3402231,380.9652889,298,320.0,377.0,Ca8.94CeP7O28Eu0.06,Ca8.94CeP7O28,https://doi.org/10.1039/C6CP05490K,2
4,45.0,28.0,0.08,27.92,164,63,8,55,379.130762,151.964,15.999,135.965,710,185,60,125,7.75,3.44,0,3.44,17,6,2,4,41.4268802,13.618054,5.5386,8.079454,570.44,224.0,5.04,218.96,1174.557214,447.972,12.15712,435.81488,4185.4,1680.0,14.8,1665.2,121.69,96.32,0,96.32,223.0,168.0,0.16,167.84,515.2338892,381.305512,0.4536308,380.8518812,298,320.0,377.0,Ca8.92CeP7O28Eu0.08,Ca8.92CeP7O28,https://doi.org/10.1039/C6CP05490K,2
5,45.0,28.0,0.01,27.99,189,63,8,55,434.068806,151.964,15.999,135.965,850,185,60,125,9.3,3.44,0,3.44,24,7,2,5,48.8608982,13.618054,5.5386,8.079454,568.77,224.0,0.25,223.75,1170.230374,447.972,0.54938044,447.4226196,4184.8,1680.0,1.4,1678.6,121.7355,96.32,0,96.32,223.05,168.0,0.07,167.93,515.2648086,381.305512,0.07434018,381.2311718,298,320.0,377.0,Ca8.95CeP7O28Eu0.04Mn0.01,Ca8.95CeP7O28,https://doi.org/10.1039/C6CP05490K,2
6,45.0,28.0,0.04,27.96,189,63,8,55,434.068806,151.964,15.999,135.965,850,185,60,125,9.3,3.44,0,3.44,24,7,2,5,48.8608982,13.618054,5.5386,8.079454,568.92,224.0,1.0,223.0,1170.676176,447.972,2.19752176,445.7744782,4183.6,1680.0,5.6,1674.4,121.752,96.32,0,96.32,223.2,168.0,0.08,167.92,515.3044345,381.305512,0.2268154,381.0786966,298,320.0,377.0,Ca8.92CeP7O28Eu0.04Mn0.04,Ca8.92CeP7O28,https://doi.org/10.1039/C6CP05490K,2
7,45.0,28.0,0.04,27.96,189,63,8,55,434.068806,151.964,15.999,135.965,850,185,60,125,9.3,3.44,0,3.44,24,7,2,5,48.8608982,13.618054,5.5386,8.079454,569.12,224.0,2.0,222.0,1171.270578,447.972,4.39504352,443.5769565,4182.0,1680.0,7.4,1672.6,121.774,96.32,0,96.32,223.4,168.0,0.08,167.92,515.357269,381.305512,0.2268154,381.0786966,298,320.0,377.0,Ca8.88CeP7O28Eu0.04Mn0.08,Ca8.88CeP7O28,https://doi.org/10.1039/C6CP05490K,2
8,45.0,28.0,0.04,27.96,189,63,8,55,434.068806,151.964,15.999,135.965,850,185,60,125,9.3,3.44,0,3.44,24,7,2,5,48.8608982,13.618054,5.5386,8.079454,569.52,224.0,2.52,221.48,1172.459381,447.972,6.07856,441.89344,4178.8,1680.0,7.4,1672.6,121.818,96.32,0,96.32,223.8,168.0,0.08,167.92,515.462938,381.305512,0.2268154,381.0786966,298,320.0,377.0,Ca8.8CeP7O28Eu0.04Mn0.16,Ca8.8CeP7O28,https://doi.org/10.1039/C6CP05490K,2
9,45.0,28.0,0.04,27.96,189,63,8,55,434.068806,151.964,15.999,135.965,850,185,60,125,9.3,3.44,0,3.44,24,7,2,5,48.8608982,13.618054,5.5386,8.079454,569.97,224.0,2.52,221.48,1173.796785,447.972,6.07856,441.89344,4175.2,1680.0,7.4,1672.6,121.8675,96.32,0,96.32,224.25,168.0,0.08,167.92,515.5818157,381.305512,0.2268154,381.0786966,298,320.0,377.0,Ca8.71CeP7O28Eu0.04Mn0.25,Ca8.71CeP7O28,https://doi.org/10.1039/C6CP05490K,2
