Tag,Inorganic phosphor,Host,1st dopant,1st dopant valency,1st doping concentration,2nd dopant,2nd dopant valency,2nd doping concentration ,Temp. (K),Emission max. (nm),CIE x coordinate,CIE y coordinate,Int. quantum efficiency (%),Ext. quantum efficiency (%),Thermal quenching temp. (K),Excitation source (nm),1st Excitation max. (nm),2nd Excitation max. (nm),3rd Excitation max. (nm),Log10 Decay time ( log10[ns]),Decay time (ns),Monitoring energy (nm),Reference,Publisher,MP-ID,ICSD-ID,LOF-Score,Journal,ISSN,Year
1,Ba2Bi0.95V3O11Eu0.05,Ba2Bi0.95V3O11,Eu,3,0.05,,,,298,619,,,,,,394,394,465,,6.017033339,1040000,619,https://doi.org/10.1016/j.dyepig.2016.04.052,ESV,mp-559941 , icsd-78156,0.965171867,Dyes and Pigments,0143-7208,2016
2,Ba2Bi0.8V3O11Eu0.2,Ba2Bi0.8V3O11,Eu,3,0.2,,,,298,619,,,,,,394,394,465,,6,1000000,619,https://doi.org/10.1016/j.dyepig.2016.04.052,ESV,mp-559941 , icsd-78156,0.979538963,Dyes and Pigments,0143-7208,2016
3,Ba2Bi0.6V3O11Eu0.4,Ba2Bi0.6V3O11,Eu,3,0.4,,,,298,619,,,,,,394,394,465,,6,1000000,619,https://doi.org/10.1016/j.dyepig.2016.04.052,ESV,mp-559941 , icsd-78156,0.979536504,Dyes and Pigments,0143-7208,2016
4,Ba2Bi0.4V3O11Eu0.6,Ba2Bi0.4V3O11,Eu,3,0.6,,,,298,619,0.65,0.35,,,451,394,394,465,,5.982271233,960000,619,https://doi.org/10.1016/j.dyepig.2016.04.052,ESV,mp-559941 , icsd-78156,1.035120852,Dyes and Pigments,0143-7208,2016
5,Ba2Bi0.2V3O11Eu0.8,Ba2Bi0.2V3O11,Eu,3,0.8,,,,298,619,,,,,,394,394,465,,5.755874856,570000,619,https://doi.org/10.1016/j.dyepig.2016.04.052,ESV,mp-559941 , icsd-78156,0.989919239,Dyes and Pigments,0143-7208,2016
6,Ba2V3O11Eu1,Ba2V3O11,Eu,3,1,,,,298,619,,,,,,394,394,465,,5.278753601,190000,619,https://doi.org/10.1016/j.dyepig.2016.04.052,ESV,mp-559941 , icsd-78156,0.968880417,Dyes and Pigments,0143-7208,2016
7,CaLa0.98B7O13Eu0.02,CaLa0.98B7O13,Eu,3,0.02,,,,298,613,0.544,0.455,13.2,,,395,,,,,,613,https://doi.org/10.1016/j.ijleo.2017.10.161,ESV,,,1.085866348,Optik,0030-4026,2018
8,CaLa0.92B7O13Eu0.08,CaLa0.92B7O13,Eu,3,0.08,,,,298,613,0.564,0.435,16.1,,,395,,,,,,613,https://doi.org/10.1016/j.ijleo.2017.10.161,ESV,,,1.08092588,Optik,0030-4026,2018
9,CaLa0.85B7O13Eu0.15,CaLa0.85B7O13,Eu,3,0.15,,,,298,613,0.579,0.418,18.9,,,395,,,,,,613,https://doi.org/10.1016/j.ijleo.2017.10.161,ESV,,,1.07928537,Optik,0030-4026,2018
10,CaLa0.65B7O13Eu0.35,CaLa0.65B7O13,Eu,3,0.35,,,,298,613,0.611,0.388,15.6,,,395,395,378,465,,,613,https://doi.org/10.1016/j.ijleo.2017.10.161,ESV,,,1.119337437,Optik,0030-4026,2018
11,CaLa0.55B7O13Eu0.45,CaLa0.55B7O13,Eu,3,0.45,,,,298,613,0.607,0.393,12.6,,,395,,,,,,613,https://doi.org/10.1016/j.ijleo.2017.10.161,ESV,,,1.106730554,Optik,0030-4026,2018
