protocol,feature_set,model,training_mode,fold,train_rows,test_rows,train_groups,test_groups,mae,rmse,r2
group_formula,AF,median,pooled,0,1302,363,1134,284,36.549586776859506,67.6488716440322,-0.22251059933612027
group_formula,AF,median,pooled,1,1341,324,1134,284,41.09567901234568,72.47619873252218,-0.2790982743085453
group_formula,AF,median,pooled,2,1353,312,1134,284,45.87820512820513,76.81723648057655,-0.3235589755021322
group_formula,AF,median,pooled,3,1350,315,1135,283,45.336507936507935,75.83773404290179,-0.3868590079361207
group_formula,AF,median,pooled,4,1314,351,1135,283,43.52136752136752,71.7030517853155,-0.3400397231118528
group_formula,AF,median,separate,0,1302,363,1134,284,32.46143250688705,56.80133689692732,0.13811636621281276
group_formula,AF,median,separate,1,1341,324,1134,284,29.89814814814815,51.526542363147506,0.35349021889308574
group_formula,AF,median,separate,2,1353,312,1134,284,33.38461538461539,55.17783022843458,0.31710304506755727
group_formula,AF,median,separate,3,1350,315,1135,283,30.917460317460318,52.06244724077435,0.34640191281738353
group_formula,AF,median,separate,4,1314,351,1135,283,26.700854700854702,44.185119512396774,0.4911445152581966
group_formula,AF,xgboost,pooled,0,1302,363,1134,284,21.558098911253875,35.13902802292973,0.670154162671871
group_formula,AF,xgboost,pooled,1,1341,324,1134,284,19.66302396044319,39.094103102335524,0.6278349324347807
group_formula,AF,xgboost,pooled,2,1353,312,1134,284,21.50060575436323,37.52199650205085,0.6842104050343207
group_formula,AF,xgboost,pooled,3,1350,315,1135,283,18.43863292875744,34.358161038931705,0.7153432824570038
group_formula,AF,xgboost,pooled,4,1314,351,1135,283,13.927912698512063,25.538812290738576,0.8300020109293164
group_formula,AF,xgboost,separate,0,1302,363,1134,284,17.120100373407368,32.69357495212852,0.7144669771548855
group_formula,AF,xgboost,separate,1,1341,324,1134,284,14.250518798828125,33.52665909155035,0.7262881150185042
group_formula,AF,xgboost,separate,2,1353,312,1134,284,14.370858119084286,32.113512532680616,0.7686861908531709
group_formula,AF,xgboost,separate,3,1350,315,1135,283,15.046934388175844,31.83166239110583,0.7556680532871467
group_formula,AF,xgboost,separate,4,1314,351,1135,283,11.758412679036459,24.666750754850504,0.8414134749507906
group_formula,AF+ES,median,pooled,0,1302,363,1134,284,36.549586776859506,67.6488716440322,-0.22251059933612027
group_formula,AF+ES,median,pooled,1,1341,324,1134,284,41.09567901234568,72.47619873252218,-0.2790982743085453
group_formula,AF+ES,median,pooled,2,1353,312,1134,284,45.87820512820513,76.81723648057655,-0.3235589755021322
