protocol,fold,audit_column,enforced,overlap_count
group_formula,0,Formula,True,0
group_formula,0,Host,False,49
group_formula,0,Reference,False,148
group_formula,1,Formula,True,0
group_formula,1,Host,False,47
group_formula,1,Reference,False,143
group_formula,2,Formula,True,0
group_formula,2,Host,False,43
group_formula,2,Reference,False,141
group_formula,3,Formula,True,0
group_formula,3,Host,False,54
group_formula,3,Reference,False,138
group_formula,4,Formula,True,0
group_formula,4,Host,False,43
group_formula,4,Reference,False,137
group_host,0,Formula,False,0
group_host,0,Host,True,0
group_host,0,Reference,False,117
group_host,1,Formula,False,0
group_host,1,Host,True,0
group_host,1,Reference,False,107
group_host,2,Formula,False,0
group_host,2,Host,True,0
group_host,2,Reference,False,116
group_host,3,Formula,False,0
group_host,3,Host,True,0
group_host,3,Reference,False,104
group_host,4,Formula,False,0
group_host,4,Host,True,0
group_host,4,Reference,False,103
group_reference,0,Formula,False,4
group_reference,0,Host,False,4
group_reference,0,Reference,True,0
group_reference,1,Formula,False,2
group_reference,1,Host,False,11
group_reference,1,Reference,True,0
group_reference,2,Formula,False,3
group_reference,2,Host,False,5
group_reference,2,Reference,True,0
group_reference,3,Formula,False,1
group_reference,3,Host,False,6
group_reference,3,Reference,True,0
group_reference,4,Formula,False,4
group_reference,4,Host,False,11
group_reference,4,Reference,True,0
random_row,0,Formula,False,48
random_row,0,Host,False,81
random_row,0,Reference,False,160
random_row,1,Formula,False,41
random_row,1,Host,False,80
random_row,1,Reference,False,156
random_row,2,Formula,False,55
random_row,2,Host,False,89
random_row,2,Reference,False,146
random_row,3,Formula,False,52
random_row,3,Host,False,93
random_row,3,Reference,False,160
random_row,4,Formula,False,48
random_row,4,Host,False,83
random_row,4,Reference,False,158
