protocol,feature_set,model,training_mode,Eu valence,fold,train_rows,test_rows,mae,rmse,r2
group_formula,AF,median,pooled,2,0,490,136,82.63235294117646,104.08720891071837,-0.7911343364267052
group_formula,AF,median,pooled,2,1,511,115,96.86086956521739,114.862829345343,-1.263479258371579
group_formula,AF,median,pooled,2,2,498,128,97.2109375,115.76589388718942,-1.1149897971030338
group_formula,AF,median,pooled,2,3,505,121,97.43801652892562,114.63820198944111,-1.580683707557046
group_formula,AF,median,pooled,2,4,500,126,101.36507936507937,115.18287736506342,-2.1032403419881334
group_formula,AF,median,pooled,3,0,812,227,8.940528634361234,28.761379667053923,-0.02752128680643029
group_formula,AF,median,pooled,3,1,830,209,10.411483253588516,29.724251049916614,-0.03236720178478647
group_formula,AF,median,pooled,3,2,855,184,10.168478260869565,26.132397018127584,-0.054276243265235946
group_formula,AF,median,pooled,3,3,845,194,12.84020618556701,33.79036341612523,-0.077778399501375
group_formula,AF,median,pooled,3,4,814,225,11.12888888888889,24.308389041188597,-0.018137386705149083
group_formula,AF,median,separate,2,0,490,136,72.3529411764706,84.8103420441579,-0.1891347282823994
group_formula,AF,median,separate,2,1,511,115,65.57391304347826,76.34709071647436,-5.720847991996791e-06
group_formula,AF,median,separate,2,2,498,128,67.0859375,79.99799802182552,-0.00996251490455946
group_formula,AF,median,separate,2,3,505,121,59.98347107438016,71.84004270277956,-0.013466066372206154
group_formula,AF,median,separate,2,4,500,126,54.98412698412698,65.9782311382094,-0.018218308416956708
group_formula,AF,median,separate,3,0,812,227,8.561674008810572,29.15553385182686,-0.055877155008583035
group_formula,AF,median,separate,3,1,830,209,10.267942583732058,30.142722704782596,-0.06164009907894741
group_formula,AF,median,separate,3,2,855,184,9.940217391304348,26.65744858791612,-0.09706683362171242
group_formula,AF,median,separate,3,3,845,194,12.788659793814434,34.38165118408844,-0.115827883644543
group_formula,AF,median,separate,3,4,814,225,10.862222222222222,24.655132438410376,-0.047390687273878296
group_formula,AF,xgboost,pooled,2,0,490,136,29.76814494413488,42.52467909398439,0.7010383215067875
group_formula,AF,xgboost,pooled,2,1,511,115,32.89729853091033,54.16294665062082,0.496705636761431
group_formula,AF,xgboost,pooled,2,2,498,128,29.98345708847046,46.90312990501652,0.6528232230779896
group_formula,AF,xgboost,pooled,2,3,505,121,26.876128141545067,42.001789429685985,0.653573078170042
group_formula,AF,xgboost,pooled,2,4,500,126,22.69455125596788,34.963779294344384,0.7140590827707552
group_formula,AF,xgboost,pooled,3,0,812,227,16.639304812259088,29.85127195362095,-0.1068711798694777
group_formula,AF,xgboost,pooled,3,1,830,209,12.381006852291417,27.479282488723378,0.11768607275691445
group_formula,AF,xgboost,pooled,3,2,855,184,15.599491782810377,29.27356064876338,-0.32296095240490574
group_formula,AF,xgboost,pooled,3,3,845,194,13.176071481606394,28.573474586737156,0.22932750537301638
group_formula,AF,xgboost,pooled,3,4,814,225,9.018595106336806,18.245530214308225,0.42640282260953444
group_formula,AF,xgboost,separate,2,0,490,136,25.24920385024127,40.382899002803654,0.7303947041071253
group_formula,AF,xgboost,separate,2,1,511,115,24.406028150475542,46.95668855902164,0.6217208327537084
group_formula,AF,xgboost,separate,2,2,498,128,22.95715641975403,41.29631989890266,0.730865284653192
group_formula,AF,xgboost,separate,2,3,505,121,24.170027047149407,41.05098833472672,0.6690797959842947
group_formula,AF,xgboost,separate,2,4,500,126,19.44431583465092,33.886636548144686,0.7314058836956705
group_formula,AF,xgboost,separate,3,0,812,227,12.249800493013492,27.05955845265927,0.09047883665018441
group_formula,AF,xgboost,separate,3,1,830,209,8.662559107730264,23.006232438206688,0.38155175168231414
