protocol,feature_set,model,fold_count,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
group_formula,AF,median,5,42.476269275057156,3.8038782184031765,72.89661853706966,3.645600339242066,-0.3104133160389543,0.0624539742745075
group_formula,AF,xgboost,5,19.01765485066596,3.1335341096142937,34.33042019139728,5.263692142437952,0.7055089587054585,0.07637420756351464
group_formula,AF+ES,median,5,42.476269275057156,3.8038782184031765,72.89661853706966,3.645600339242066,-0.3104133160389543,0.0624539742745075
group_formula,AF+ES,xgboost,5,14.9998050566003,1.4104164889291357,29.254685548959248,3.682877812468972,0.7873863443109942,0.04815625331128264
group_formula,AF+T,median,5,42.476269275057156,3.8038782184031765,72.89661853706966,3.645600339242066,-0.3104133160389543,0.0624539742745075
group_formula,AF+T,xgboost,5,18.80921076750713,2.810652451047481,34.129652708400094,4.951951831709838,0.709521992971305,0.0709405325592223
group_formula,AF+T+ES,median,5,42.476269275057156,3.8038782184031765,72.89661853706966,3.645600339242066,-0.3104133160389543,0.0624539742745075
group_formula,AF+T+ES,xgboost,5,15.211193090123723,1.53207306249274,29.335724189913186,3.9002474516080285,0.7863856687426249,0.048727190136590284
group_host,AF,median,5,42.23628290265308,5.394827595743683,72.43230329886559,5.891596876169998,-0.3100702145188887,0.05848660278691131
group_host,AF,xgboost,5,23.613315254579057,3.095384394296392,42.462591438934695,6.083279545854518,0.5450823839065565,0.10143938758482181
group_host,AF+ES,median,5,42.23628290265308,5.394827595743683,72.43230329886559,5.891596876169998,-0.3100702145188887,0.05848660278691131
group_host,AF+ES,xgboost,5,19.790465569750044,3.1042163465064054,37.604723018180195,5.668961101242982,0.6446871218850402,0.07973502948833973
group_host,AF+T,median,5,42.23628290265308,5.394827595743683,72.43230329886559,5.891596876169998,-0.3100702145188887,0.05848660278691131
group_host,AF+T,xgboost,5,23.767024771243648,3.37220669147305,42.31135911538657,6.094806038925276,0.548941459176729,0.0976353948563821
group_host,AF+T+ES,median,5,42.23628290265308,5.394827595743683,72.43230329886559,5.891596876169998,-0.3100702145188887,0.05848660278691131
group_host,AF+T+ES,xgboost,5,20.25502255199881,3.3235809888678474,38.40318907632282,5.243475464083818,0.6288062395698979,0.07863851907251551
group_reference,AF,median,5,42.34210102979431,11.99273106553561,72.09215768221777,11.367172267511911,-0.32208703904164593,0.1848113754946612
group_reference,AF,xgboost,5,36.58338323267762,2.3074511636230004,54.352407605811365,4.546461957502648,0.23882897943265724,0.09401317762957444
group_reference,AF+ES,median,5,42.34210102979431,11.99273106553561,72.09215768221777,11.367172267511911,-0.32208703904164593,0.1848113754946612
group_reference,AF+ES,xgboost,5,32.81494550530731,3.035368355106921,49.99754131872902,4.1952388024316205,0.35403559774875515,0.09718021087302033
group_reference,AF+T,median,5,42.34210102979431,11.99273106553561,72.09215768221777,11.367172267511911,-0.32208703904164593,0.1848113754946612
group_reference,AF+T,xgboost,5,36.219884425170385,2.337584486127991,53.48356607488631,4.941977917486738,0.2627008359058742,0.09952003141007643
group_reference,AF+T+ES,median,5,42.34210102979431,11.99273106553561,72.09215768221777,11.367172267511911,-0.32208703904164593,0.1848113754946612
group_reference,AF+T+ES,xgboost,5,32.822374138807625,2.884516264096755,49.684592505653505,4.2725879927364625,0.36204464193967795,0.09608400751260836
random_row,AF,median,5,42.31441441441442,5.111488303129862,72.56575843196566,6.3050620076201485,-0.30980546894902655,0.07970991000334798
random_row,AF,xgboost,5,17.907658427470437,1.3450551398255097,34.547621947274976,3.969944820856626,0.6996814073669686,0.06630011622349608
random_row,AF+ES,median,5,42.31441441441442,5.111488303129862,72.56575843196566,6.3050620076201485,-0.30980546894902655,0.07970991000334798
random_row,AF+ES,xgboost,5,13.872961279150243,1.2413682972162785,27.777457714851067,3.9511881798527893,0.8056581459131126,0.05114289506758117
random_row,AF+T,median,5,42.31441441441442,5.111488303129862,72.56575843196566,6.3050620076201485,-0.30980546894902655,0.07970991000334798
random_row,AF+T,xgboost,5,17.922706251173047,1.469952514245088,34.45716325258046,4.010379995486856,0.701031278671713,0.06766177735169412
random_row,AF+T+ES,median,5,42.31441441441442,5.111488303129862,72.56575843196566,6.3050620076201485,-0.30980546894902655,0.07970991000334798
random_row,AF+T+ES,xgboost,5,14.266666849955424,1.1135358216670515,28.397281915934446,3.9786300139411357,0.7967738738639587,0.052978623421177685
